============================================================================
评测时间: 2026-08-29 20:03:31 | 配置: BM25
查询数: 100 | 总耗时: 18.4s | 平均: 0.18s/查询
----------------------------------------------------------------------------
指标        BM25 单路     
Hit@1     24.0%       
Hit@3     34.0%       
Hit@5     38.0%       
Hit@10    43.0%       
MRR       0.3075      
----------------------------------------------------------------------------
注：BM25 为关键词召回一路，生产上与向量路 RRF 融合后才是最终召回。
    本基线用于对比分词方案（jieba / 字符 2-gram / 法律词典）的召回差异，
    需与同评测集的 vector 模式结果一起看。

Hit@5 未命中 62/100 条:
  #4    民事行为能力分为哪几种
  #9    行政处罚的种类有哪些
  #10   用人单位什么情况下可以单方面解除劳动合同
  #12   发明专利的新颖性要求是什么
  #15   著作权的权利内容包括哪些
  #17   食品安全法对食品添加剂有什么规定
  #18   行政复议申请应该向哪个机关提出
  #19   公司法关于股东会职权的规定
  #20   专利法第四十二条
  #22   盗窃罪的立案标准是多少
  #23   诈骗罪的构成要件是什么
  #24   交通事故逃逸怎么处罚
  #25   贪污罪的量刑标准
  #26   离婚时财产怎么分割
  #27   遗嘱的有效形式有哪些
  #29   小区业主的权利有哪些
  #30   高空抛物致人损害谁承担责任
  #31   试用期内单位需要交社保吗
  #32   加班工资怎么计算
  #35   工伤认定需要满足什么条件
  #37   公司董事的任职资格有什么限制
  #38   公司解散的法定情形有哪些
  #40   食品标签必须标注哪些内容
  #41   商标注册的条件是什么
  #43   著作权的保护期限是多久
  #45   外观设计专利的保护期限
  #46   行政处罚的简易程序适用条件
  #47   当事人有哪些行政处罚权利
  #49   偷税漏税的法律责任是什么
  #50   抢劫罪的量刑标准
  #51   民法典关于居住权的规定
  #52   民间借贷的利率上限是多少
  #55   阻碍国家机关工作人员依法执行职务怎么处罚
  #56   组织未成年人进行违反治安管理活动怎么处罚
  #57   用人单位拖欠工资怎么办
  #59   公司法关于监事职权的规定
  #61   销售过期食品怎么处罚
  #64   行政处罚的听证程序怎么启动
  #65   行政诉讼的起诉期限是多久
  #66   网购商品七天无理由退货的法律依据
  #67   宠物伤人主人要承担什么责任
  #68   在公共场所受到伤害谁来赔偿
  #70   酒后驾车怎么处罚
  #73   帮信罪的构成要件
  #74   未成年人犯罪的刑事责任年龄
  #78   网络造谣传谣怎么处罚
  #79   卖淫嫖娼怎么处罚
  #80   扰乱公共秩序的行为有哪些
  #82   行政处罚的追诉时效是多久
  #83   对行政处罚不服怎么救济
  #84   未注册商标可以使用吗
  #86   职务发明的专利权归谁
  #87   专利权人有哪些义务
  #88   哪些作品不受著作权法保护
  #89   著作权可以转让吗
  #90   行政复议决定书包含哪些内容
  #91   公司合并有哪些程序
  #95   竞业限制的期限最长多久
  #96   用人单位可以收取押金吗
  #97   治安案件的办案期限
  #98   刑法的基本原则有哪些
  #100  行政复议决定作出后不服怎么办
