============================================================================
评测时间: 2026-08-30 15:52:59 | 配置: BM25
查询数: 148 | 总耗时: 27.4s | 平均: 0.19s/查询
----------------------------------------------------------------------------
指标        BM25 单路     
Hit@1     18.9%       
Hit@3     29.1%       
Hit@5     34.5%       
Hit@10    41.9%       
MRR       0.2610      
----------------------------------------------------------------------------
注：BM25 为关键词召回一路，生产上与向量路 RRF 融合后才是最终召回。
    本基线用于对比分词方案（jieba / 字符 2-gram / 法律词典）的召回差异，
    需与同评测集的 vector 模式结果一起看。

Hit@5 未命中 97/148 条:
  #l-监察法实施条-二百二十-colloq 查出来有问题，材料要送到哪儿去？
  #l-宪法-一百零九-colloq 县里的审计局到底听谁的？
  #l-证券法-一百五十八-colloq 买卖股票的钱是不是能互相抵消后只算总数？
  #l-专利法实施细-九-colloq 我设计的东西哪些情况不能去申请专利？
  #l-民法典-一千二百三十八-colloq 飞机掉下来砸到人，航空公司要赔偿吗？
  #l-危险化学品安-六十八-colloq 拉危险品的车能超载吗？
  #l-治安管理处罚-八十六-colloq 私自买卖制毒原料要坐牢吗？
  #l-证券法-一百一十八-colloq 自己想开家证券公司，得符合哪些要求？
  #l-民用航空法-二十八-colloq 造飞机零件的厂子是不是得先办个许可证书才能干活？
  #l-刑法-二百八十七-colloq 明知道别人在网上犯罪，还帮他提供技术或转账，会坐牢吗？
  #l-公司法-三十三-colloq 公司什么时候算正式成立？
  #l-海商法-九十七-colloq 船还没开，货装了一半，我不运了要付多少钱？
  #l-食品安全法-六十五-colloq 我卖菜要记下从谁那进的货吗？
  #l-治安管理处罚-五十三-colloq 家里人虐打我，我不去告，警察会管吗？
  #l-期货和衍生品-八十四-colloq 被吊销执照的人能当交易所领导吗？
  #l-农业法-八十六-colloq 扶贫款被村干部拿去用了能找谁管？
  #l-劳动法-五十三-colloq 公司新建厂房，厕所和洗手台必须跟主体一起建好吗？
  #l-税收征收管理-一百零八-colloq “以上”“以下”这些说法都包括本数吗？
  #l-动物防疫法-一百-colloq 我因为这事被罚了，五年内都不能再做这行吗？
  #l-海上交通安全-九十-colloq 我的船正开着呢，海事局能随便拦下来查吗？
  #l-危险化学品安-八十六-colloq 没资格开危险品车要罚多少钱？
  #l-医疗器械监督-七十-colloq 药监来店里检查，我能拦着不让进吗？
  #l-道路交通安全-七十八-colloq 交警没通过考核还能上路执勤吗？
  #l-传染病防治法-一-colloq 国家为啥要花这么大力气防控传染病？
  #l-票据法-二十二-colloq 我开了一张汇票但没写金额，这票还能用吗？
  #l-基本医疗卫生-四十八-colloq 医院能自己改进医疗设备和技术吗？
  #l-公务员法-五十四-colloq 单位要给我奖励，得走什么流程？
  #l-劳动法-二十七-colloq 什么情况下公司不能辞退员工？
  #l-合伙企业法-七十-colloq 我是有限合伙人，能和自己这家合伙企业做生意吗？
  #l-预算法-六十-colloq 交进国库的钱，什么情况下能退回来？
  #l-体育法-七十八-colloq 我捐钱支持体育比赛能享受税收优惠吗？
  #l-文物保护法-二十六-colloq 我家旁边的老房子没人管，该找谁来管保护？
  #l-药品管理法实-六十二-colloq 医院开错药或者药有问题，该找谁投诉？
  #l-宪法-十五-colloq 国家会不会管那些扰乱市场秩序的人？
  #l-旅游法-五十三-colloq 旅游大巴车上必须贴着司机和公司信息吗？
  #l-商标法实施条-四十-colloq 去商标局办国际注册，材料没带齐是不是就不给办了？
  #l-特种设备安全-六-colloq 政府要不要管我们厂里那些特种设备的安全问题？
  #l-票据法-四十八-colloq 给汇票做担保时附加条件，还算数吗？
  #l-预算法实施条-五十五-colloq 政府收上来的钱是不是都得交到国库里？
  #l-合伙企业法-一百零六-colloq 公司赔钱和交罚款，钱不够先赔哪个？
  #l-道路交通安全-七-colloq 车卖给别人了，要赶紧去办过户手续吗？
  #l-劳动合同法-三十三-colloq 公司换老板了，之前的合同还算数吗？
  #l-宪法-三十八-colloq 被人发帖骂我造谣，算侵犯我人格尊严吗？
  #l-立法法-二十三-colloq 人大开会时，法律草案由谁来统一审议？
  #l-安全生产法-五十-colloq 出了事故老板必须马上组织救人吗？
  #l-突发事件应对-七十一-colloq 突发情况的应对等级是怎么划分的？
  #l-网络安全法-四十八-colloq 我建了个群专门用来商量怎么骗人，会坐牢吗？
  #l-社会保险法-十三-colloq 我在国企工作过，那几年的养老保险费该谁出？
  #l-反有组织犯罪-六十-colloq 打击黑恶势力的经费是政府掏钱吗？
  #l-行政强制法-四十二-colloq 罚款交不起，能跟政府商量分期或者减免吗？
  #l-地方各级人民-二十五-colloq 人大代表表决事情是不是必须超过半数人同意才行？
  #l-社会救助法-四十六-colloq 领了救助金后家里条件变好了要主动告诉政府吗？
  #l-电子商务法-四十一-colloq 网购平台不管假货，我能找它赔偿吗？
  #l-病原微生物实-六十七-colloq 实验室把病菌弄丢了不上报，会有什么后果？
  #l-商标法-七十二-colloq 申请商标注册要交钱吗？
  #l-退役军人安置-三-colloq 退役军人能享受啥样的优待？
  #l-建设工程质量-四十三-colloq 房子质量有问题该找哪个部门投诉？
  #l-商业银行法-二十-colloq 开银行分行得准备哪些文件啊？
  #l-企业国有资产-六十八-colloq 管国资的人乱任命或者挪用资金，会受处分吗？
  #l-防震减灾法-五十九-colloq 地震后没地方住，政府会怎么安置我们？
  #l-退役军人保障-二十九-colloq 我老公退役后，我的工作能不能跟着调过去？
  #l-老年人权益保-八十二-colloq 小区无障碍设施坏了没人修，老人受伤谁负责？
  #l-监察法-七十四-colloq 监察委的人乱用职权欺负人，他们自己也要被处理吗？
  #l-核安全法-三十-colloq 核电站拆完以后，那块场址要测到啥程度才算干净？
  #l-兽药管理条例-六十八-colloq 我在猪饲料里加激素药会有什么处罚？
  #l-农民专业合作-四十-colloq 合作社的账目要在开会前多久给我们看？
  #l-化妆品监督管-七十三-colloq 化妆品店招了被禁入这行的人干活，会怎么罚？
  #l-专利法-二十二-colloq 我改进的小东西跟别人已有的差不多，还算新吗？
  #l-重新组建仲裁-四-colloq 合同里写了仲裁条款，就算说好去仲裁了吗？
  #l-道路运输条例-二十一-colloq 自己买货车搞运输，得满足什么条件才能干？
  #l-行政复议法-二十-colloq 政府没告诉我能申请复议，过了一年还能告吗？
  #l-粮食安全保障-三十-colloq 我存政府储备粮的公司，还能同时做自己的买卖吗？
