base_name,title,role,chunks,articles,title_year,version_score,version_source,evidence,fingerprint,doc_id
中华人民共和国刑法,中华人民共和国刑法(2023修正),current,631,505,2023,20231229,title=2023,组内最高版本（title=2023）,d2d1e4ed2d0c,89259d78-f646-4d35-ab55-9f41f08d8ee5
中华人民共和国刑法,中华人民共和国刑法,superseded,630,505,,20201226,doc_date=2020年12月26日,新版覆盖其 100% 条文且版本更旧（20201226 < 20231229）；逐条比对 505 条中有 8 条实质差异,32ec83101711,29745484-9cb0-4a8d-91b8-d111b485ddc5
中华人民共和国公司法,中华人民共和国公司法,current,305,266,,20231229,doc_date=2023年12月29日,组内最高版本（doc_date=2023年12月29日）,121a20a37e09,7ad391f2-710b-47eb-9a0b-de7c249f58ed
中华人民共和国公司法,中华人民共和国公司法(2023修订) ,duplicate,306,266,2023,20230701,title=2023,与 中华人民共和国公司法 重复入库：逐条正文比对：266 条全部一致（差异仅在【罪名】标题或切分粒度）,4f8cb2b7c5fb,ab0eea1b-bdc2-43e2-8f0e-7215309c7a10
中华人民共和国公司法,中华人民共和国公司法(2023修订),superseded,207,49,2023,20230000,title=2023,新版覆盖其 100% 条文且版本更旧（20230000 < 20231229）；逐条比对 49 条中有 21 条实质差异,75c67fa496e5,73e04cb6-8c8e-41fc-8d57-4b295540b0e3
中华人民共和国证券法,中华人民共和国证券法,current,281,226,,20191228,doc_date=2019年12月28日,组内最高版本（doc_date=2019年12月28日）,a0c96bb462ab,8d327af5-023d-403c-959d-7b49e7c1d2a2
中华人民共和国证券法,中华人民共和国证券法(2019修订),duplicate,282,226,2019,20190301,title=2019,与 中华人民共和国证券法 重复入库：逐条正文比对：226 条全部一致（差异仅在【罪名】标题或切分粒度）,fd6c78949dab,7d0bf521-a274-4b4b-9107-f6306ba9ec3e
中华人民共和国宪法,中华人民共和国宪法(2018修正),current,150,143,2018,20180311,title=2018,组内最高版本（title=2018）,d3aac8f6526b,db31e81d-a3c5-4c01-b783-f7c06977acd1
中华人民共和国宪法,中华人民共和国宪法（2018年修正文本）,duplicate,150,143,2018,20180311,title=2018,与 中华人民共和国宪法(2018修正) 重复入库：逐条正文比对：143 条全部一致（差异仅在【罪名】标题或切分粒度）,7f823b9c5d2d,d6169b45-2727-40ae-b915-35c54603b3b5
中华人民共和国宪法,中华人民共和国宪法（1982年）,superseded,145,138,1982,19820000,title=1982,新版覆盖其 100% 条文且版本更旧（19820000 < 20180311）；逐条比对 138 条中有 52 条实质差异,1e8e68cc00c0,5f7bdaa6-7756-427c-a2c7-f02308626729
中华人民共和国食品安全法,中华人民共和国食品安全法,current,187,154,,20250912,doc_date=2025年9月12日,组内最高版本（doc_date=2025年9月12日）,405d5db8a480,90a19456-b40c-483d-adaf-b74b681ad70d
